"the_geom","Group_Id","WorksiteNa","Address","Latitude","Longitude","City","Origin_Des","EmployerID","WorksiteID"
"POINT (-122.33722929999999 47.615757700000074)","4,750","Amazon - Port 99","2001 8th Avenue, Seattle, WA 98121, USA","47.6157577","-122.3372293","Seattle","Destination","9840","4459"
"POINT (-122.29700399999996 47.57103200000006)","4,768","Asian Counseling and Referral Service","3639 Martin Luther King Jr Way S, Seattle, WA 98144, USA","47.571032","-122.297004","Seattle","Destination","11169","4414"
"POINT (-122.33682859999999 47.62227880000006)","4,775","Amazon.com - Arizona","410 Terry Ave N, Seattle, WA 98109, USA","47.6222788","-122.3368286","Seattle","Destination","9840","5145"
"POINT (-122.33655339999996 47.62219420000008)","4,789","Amazon - Invictus","410 Terry Ave N, Seattle, WA 98109, USA","47.6221942","-122.3365534","Seattle","Destination","9840","5165"
"POINT (-122.17153639999998 47.48387330000003)","4,796","City of Renton - Public Works","3555 NE 2nd St, Renton, WA 98056, USA","47.4838733","-122.1715364","Renton","Destination","5035","3730"
"POINT (-122.19936199999995 47.614179500000034)","4,812","Amazon - Everest","425 106th Ave NE, Bellevue, WA 98004, USA","47.6141795","-122.199362","Bellevue","Destination","9840","5260"
"POINT (-122.33983949999998 47.61607630000003)","4,814","Amazon - Day 1","2121 7th Ave, Seattle, WA 98121, USA","47.6160763","-122.3398395","Seattle","Destination","9840","5158"
"POINT (-122.3364939 47.62228810000005)","4,815","Amazon - South Lake Union","410 Terry Ave N, Seattle, WA 98109, USA","47.6222881","-122.3364939","Seattle","Destination","9840","4355"
"POINT (-122.33796349999994 47.61535890000005)","4,819","Amazon - Doppler","2021 7th Ave, Seattle, WA 98121, USA","47.6153589","-122.3379635","Seattle","Destination","9840","5019"
"POINT (-122.14178489999995 47.65884770000008)","4,822","Microsoft - Red West","5600 148th Ave NE, Redmond, WA 98052, USA","47.6588477","-122.1417849","Redmond","Destination","1024","2211"
"POINT (-122.33447359999997 47.613202700000045)","4,830","Amazon - Charisma","1600 7th Ave #700, Seattle, WA 98101, USA","47.6132027","-122.3344736","Seattle","Destination","9840","5346"
"POINT (-122.12623699999995 47.63929600000006)","4,896","Microsoft - Bldg 6","16061 NE 36th Way, Redmond, WA 98052, USA","47.639296","-122.126237","Redmond","Destination","1024","4827"
"POINT (-122.21542729999999 47.79854830000005)","4,898","Philips Medical Systems - Bothell","22100 Bothell Everett Hwy, Bothell, WA 98021, USA","47.7985483","-122.2154273","Bothell","Destination","3016","105"
"POINT (-122.13599679999999 47.63722220000005)","4,904","Microsoft - Bldg 22","3050 152nd Ave NE, Redmond, WA 98052, USA","47.6372222","-122.1359968","Redmond","Destination","1024","4387"
"POINT (-122.32829999999996 47.60970000000003)","4,906","Virginia Mason Hospital - Seattle Medical Center","925 Seneca St, Seattle, WA 98104, USA","47.6097","-122.3283","Seattle","Destination","6040","4996"
"POINT (-122.14011409999995 47.63741710000005)","4,907","TATA Consultancy - Oakhurst Center","14999 NE 31st Way, Redmond, WA 98052, USA","47.6374171","-122.1401141","Redmond","Destination","11678","5731"
"POINT (-122.14319999999998 47.65820000000008)","4,910","TATA Consultancy  - Microsoft","5600 148th Ave NE, Redmond, WA 98052, USA","47.6582","-122.1432","Redmond","Destination","11678","5080"
"POINT (-122.29756379999998 47.59552720000005)","4,913","Seattle Housing Authority-MLK","801 Martin Luther King Jr Way S, Seattle, WA 98144, USA","47.5955272","-122.2975638","Seattle","Destination","5551","4449"
"POINT (-122.13062209999998 47.58358170000008)","4,914","Infosys - Microsoft Building 50","3003 160th Ave SE, Bellevue, WA 98008, USA","47.5835817","-122.1306221","Bellevue","Destination","10707","5594"
"POINT (-122.13437699999997 47.63951130000004)","4,931","Microsoft - Millennium F","Microsoft Building 43, 15580 NE 31st St, Redmond, WA 98052, USA","47.6395113","-122.134377","Redmond","Destination","1024","5479"
"POINT (-122.13592979999999 47.63707780000004)","4,936","Microsoft - Bldg 22","3050 152nd Ave NE, Redmond, WA 98052, USA","47.6370778","-122.1359298","Redmond","Destination","1024","4387"
"POINT (-122.14803779999994 47.63793700000008)","4,943","Microsoft - Bldg 113","15563 NE 31st St, Bellevue, WA 98007, USA","47.637937","-122.1480378","Bellevue","Destination","1024","4725"
"POINT (-122.19585059999997 47.61339590000006)","4,962","Amazon - Grace","320 108th Ave NE, Bellevue, WA 98004, USA","47.6133959","-122.1958506","Bellevue","Destination","9840","5661"
"POINT (-122.33745699999997 47.71229800000003)","4,966","Northwest Hospital","1550 N 115th St, Seattle, WA 98133, USA","47.712298","-122.337457","Seattle","Destination","6013","700"
"POINT (-122.32069999999999 47.60860000000008)","4,969","Swedish - First Hill","747 Broadway, Seattle, WA 98122, USA","47.6086","-122.3207","Seattle","Destination","6030","934"
"POINT (-122.33534079999998 47.62122130000006)","4,976","Amazon - Fiona","300 Boren Ave N, Seattle, WA 98109, USA","47.6212213","-122.3353408","Seattle","Destination","9840","5101"
"POINT (-122.33941939999994 47.622874600000046)","4,980","Amazon - Brazil","400 9th Ave N, Seattle, WA 98109, USA","47.6228746","-122.3394194","Seattle","Destination","9840","5133"
"POINT (-122.1419651 47.64340050000004)","4,985","Microsoft - Studio G","3800 148th Ave NE, Redmond, WA 98052, USA","47.6434005","-122.1419651","Redmond","Destination","1024","4257"
"POINT (-122.30639319999995 47.41419600000006)","4,988","K2 Sports - Des Moines","2021 S 208th St, Des Moines, WA 98198, USA","47.414196","-122.3063932","Des Moines","Destination","3032","5072"
"POINT (-122.33864779999999 47.616731300000026)","4,991","Amazon - re:Invent","2121 8th Ave, Seattle, WA 98121, USA","47.6167313","-122.3386478","Seattle","Destination","9840","5486"
"POINT (-122.33823479999995 47.61530460000006)","4,997","Amazon - Doppler","2021 7th Ave, Seattle, WA 98121, USA","47.6153046","-122.3382348","Seattle","Destination","9840","5019"
"POINT (-122.23178059999998 47.468353500000035)","5,010","City of Renton - City Hall","1055 SW Grady Way, Renton, WA 98057, USA","47.4683535","-122.2317806","Renton","Destination","5035","340"
"POINT (-122.34164229999999 47.615985400000056)","5,013","Amazon - Doppler","2201 6th Ave, Seattle, WA 98121, USA","47.6159854","-122.3416423","Seattle","Destination","9840","5019"
"POINT (-122.33759519999995 47.62417790000006)","5,022","Amazon - Wainwright","535 Terry Ave N, Seattle, WA 98109, USA","47.6241779","-122.3375952","Seattle","Destination","9840","5161"
"POINT (-122.33545019999997 47.62116720000006)","5,023","Amazon.com - Houdini South","300 Boren Ave N, Seattle, WA 98109, USA","47.6211672","-122.3354502","Seattle","Destination","9840","5139"
"POINT (-122.13920739999998 47.65105230000006)","6,479","Nintendo","4600 150th Ave NE, Redmond, WA 98052, USA","47.6510523","-122.1392074","Redmond","Destination","4244","683"
"POINT (-122.33506599999998 47.62170940000004)","5,025","Amazon - Houdini North","399 Fairview Ave N, Seattle, WA 98109, USA","47.6217094","-122.335066","Seattle","Destination","9840","5279"
"POINT (-122.37486099999995 47.628315900000075)","5,032","Expedia - Group Way","1111 Expedia Group Way W, Seattle, WA 98119, USA","47.6283159","-122.374861","Seattle","Destination","10391","5503"
"POINT (-122.33832069999994 47.62000920000003)","5,033","Amazon - Roxanne","202 Westlake Ave N, Seattle, WA 98109, USA","47.6200092","-122.3383207","Seattle","Destination","9840","5162"
"POINT (-122.33895029999996 47.61671300000006)","5,035","Amazon - re:Invent","2121 8th Ave, Seattle, WA 98121, USA","47.616713","-122.3389503","Seattle","Destination","9840","5486"
"POINT (-122.37511259999997 47.62825150000003)","5,039","Expedia - Group Way","1111 Expedia Group Way W, Seattle, WA 98119, USA","47.6282515","-122.3751126","Seattle","Destination","10391","5503"
"POINT (-122.03032099999996 47.53716000000003)","5,042","City of Issaquah - Public Works","670 1st Ave NE, Issaquah, WA 98027, USA","47.53716","-122.030321","Issaquah","Destination","5024","3986"
"POINT (-122.33823939999996 47.61530120000003)","5,060","Amazon - Doppler","2021 7th Ave, Seattle, WA 98121, USA","47.6153012","-122.3382394","Seattle","Destination","9840","5019"
"POINT (-122.33443669999997 47.616391400000055)","5,069","Amazon - WeWork","1915 Terry Ave, Seattle, WA 98101, USA","47.6163914","-122.3344367","Seattle","Destination","9840","5334"
"POINT (-122.33534079999998 47.62122130000006)","5,072","Amazon.com - Houdini South","300 Boren Ave N, Seattle, WA 98109, USA","47.6212213","-122.3353408","Seattle","Destination","9840","5139"
