name,population
Indianola CDP,"3,468"
Ione town,409
Issaquah city,"39,591"
Jamestown CDP,390
Kahlotus city,124
Kalama city,"3,050"
Kapowsin CDP,466
Kayak Point CDP,"1,883"
Keller CDP,212
Kelso city,"12,684"
Kendall CDP,657
Kenmore city,"23,741"
Kennewick city,"85,295"
Kent city,"135,603"
Ketron Island CDP,0
Kettle Falls city,"1,575"
Key Center CDP,"3,544"
Keyport CDP,221
Kingston CDP,"2,496"
Kirkland city,"92,621"
Kitsap Lake CDP,"2,186"
Kittitas city,"1,221"
Klickitat CDP,501
Krupp town,33
La Center city,"3,883"
La Conner town,873
La Grande CDP,288
LaCrosse town,357
Lacey city,"57,737"
Lake Bosworth CDP,907
Lake Cassidy CDP,"3,292"
Lake Cavanaugh CDP,304
Lake Forest Park city,"13,335"
Lake Goodwin CDP,"5,536"
Lake Holm CDP,"3,555"
Lake Ketchum CDP,"1,235"
Lake Marcel-Stillwater CDP,"1,549"
Lake McMurray CDP,569
Lake Morton-Berrydale CDP,"11,183"
Lake Roesiger CDP,815
Lake Shore CDP,"6,978"
Lake Stevens city,"40,253"
Lake Stickney CDP,"15,890"
Lake Tapps CDP,"12,798"
Lakeland North CDP,"15,950"
Lakeland South CDP,"13,100"
Lakeview CDP,"1,584"
Lakewood city,"62,937"
Lamont town,170
Langley city,"1,044"
Larch Way CDP,"4,424"
Latah town,235
Laurier CDP,0
Leavenworth city,"2,569"
Lebam CDP,436
Lewisville CDP,"2,465"
Lexington CDP,"4,413"
Liberty Lake city,"12,737"
Lind town,565
Lochsloy CDP,"3,029"
Lofall CDP,"1,800"
Long Beach city,"1,792"
Longbranch CDP,"4,638"
Longview Heights CDP,"4,357"
Longview city,"38,069"
Loomis CDP,135
Loon Lake CDP,906
Lower Elochoman CDP,271
Lyle CDP,218
Lyman town,437
Lynden city,"16,234"
Lynnwood city,"40,110"
Mabton city,"2,536"
Machias CDP,"1,276"
Malden town,100
Malo CDP,35
Malone CDP,518
Malott CDP,447
Maltby CDP,"10,910"
Manchester CDP,"5,956"
Mansfield town,298
Manson CDP,"1,462"
Maple Falls CDP,209
Maple Heights-Lake Desire CDP,"4,113"
Maple Valley city,"28,287"
Maplewood CDP,"5,803"
Marblemount CDP,291
Marcus town,242
Marietta-Alderwood CDP,"3,754"
Marine View CDP,471
Markham CDP,166
Marrowstone CDP,"1,164"
Martha Lake CDP,"22,634"
Maryhill CDP,23
Marysville city,"73,002"
Mattawa city,"3,616"
May Creek CDP,791
McChord AFB CDP,"2,999"
McCleary city,"2,094"
McKenna CDP,669
McMillin CDP,"1,348"
Mead CDP,"6,893"
Meadow Glade CDP,"2,281"
Meadowdale CDP,"3,009"
Medical Lake city,"4,950"
Medina city,"2,928"
Mercer Island city,"25,307"
Mesa city,502
Metaline Falls town,361
Metaline town,150
Methow CDP,58
Midland CDP,"9,050"
Mill Creek East CDP,"25,453"
Mill Creek city,"20,956"
Millwood city,"1,890"
Milton city,"8,894"
Mineral CDP,7
Minnehaha CDP,"11,482"
Mirrormont CDP,"4,019"
Moclips CDP,82
Monroe North CDP,"1,456"
Monroe city,"19,755"
Montesano city,"4,183"
Morton city,"1,206"
Moses Lake North CDP,"4,517"
Moses Lake city,"26,083"
Mossyrock city,875
Mount Vernon city,"35,377"
Mount Vista CDP,"10,764"
Mountlake Terrace city,"23,104"
Moxee city,"4,625"
Mukilteo city,"21,323"
Naches town,"1,059"
Napavine city,"2,158"
Naselle CDP,528
Navy Yard City CDP,"2,672"
Neah Bay CDP,955
Neilton CDP,299
Nespelem Community CDP,358
Nespelem town,151
Newcastle city,"12,989"
Newport city,"2,181"
Nile CDP,349
Nisqually Indian Community CDP,628
Nooksack city,"1,794"
Normandy Park city,"6,659"
North Bend city,"7,953"
North Bonneville city,"1,112"
North Fort Lewis CDP,"6,337"
North Lynnwood CDP,"23,339"
North Omak CDP,416
North Puyallup CDP,"1,653"
North Sultan CDP,355
North Yelm CDP,"2,522"
Northport town,164
Northwest Stanwood CDP,72
Oak Harbor city,"24,362"
Oakesdale town,396
Oakville city,878
Ocean City CDP,187
Ocean Park CDP,"2,122"
Ocean Shores city,"7,302"
Ocosta CDP,235
Odessa town,783
Okanogan city,"2,470"
Olympia city,"55,951"
Omak city,"5,036"
Onalaska CDP,848
Orchards CDP,"29,438"
Orient CDP,87
Oroville city,"1,605"
Orting city,"8,978"
Oso CDP,245
Othello city,"8,795"
